run_no,hh_id,hh_size,secondary_cases,SAR
6,6,2,0,0.0
5,5,2,0,0.0
13,13,3,0,0.0
16,16,4,1,0.3333333333333333
17,17,2,0,0.0
10,10,4,1,0.3333333333333333
12,12,2,0,0.0
0,0,4,0,0.0
8,8,2,0,0.0
18,18,5,3,0.75
14,14,4,0,0.0
1,1,2,0,0.0
2,2,3,0,0.0
3,3,4,0,0.0
4,4,3,0,0.0
9,9,2,0,0.0
11,11,5,0,0.0
7,7,4,0,0.0
15,15,3,0,0.0
19,19,4,1,0.3333333333333333
